object_id,color_1,closest_1,color_2,closest_2,color_3,closest_3,color_4,closest_4,color_5,closest_5,palette,url
18678777,#b72b3a,#a52a2a,#e83b28,#dc143c,#a94061,#cd5c5c,#fc815f,#ff7f50,#f7686d,#fa8072,css3,http://images.collection.cooperhewitt.org/16296_466aa4bba7c15f0c_z.jpg
18678781,#908163,#808080,#bbbeb1,#c0c0c0,#9e998a,#bc8f8f,#69624e,#696969,#58472b,#556b2f,css3,http://images.collection.cooperhewitt.org/16299_bb5406651c946c93_z.jpg
18678783,#845f0e,#8b4513,#d3a341,#cd853f,#623c04,#8b4513,,,,,css3,http://images.collection.cooperhewitt.org/16300_b48ef3d465944e92_z.jpg
18678785,#79684e,#696969,#c2b6a8,#c0c0c0,#493d23,#556b2f,,,,,css3,http://images.collection.cooperhewitt.org/16301_ce242e2790d62eb5_z.jpg
18678787,#a2b54a,#9acd32,#667a16,#6b8e23,#3e5209,#556b2f,#202f05,#000000,#c9da84,#d2b48c,css3,http://images.collection.cooperhewitt.org/16302_b73e4c9e572dcd05_z.jpg
18678789,#876636,#a0522d,#caaf84,#d2b48c,#503309,#8b4513,,,,,css3,http://images.collection.cooperhewitt.org/16303_1cec270e652a2e21_z.jpg
18678963,#b9340b,#b22222,#8d0a02,#8b0000,,,,,,,css3,http://images.collection.cooperhewitt.org/16304_88147572d8c1d862_z.jpg
18612311,#9289ad,#778899,#cfd9f3,#dcdcdc,#c1ba98,#d2b48c,#555264,#696969,#796679,#696969,css3,http://images.collection.cooperhewitt.org/16316_15bd233ebcf5b4b9_z.jpg
18616917,#d2c3c0,#c0c0c0,#a99495,#bc8f8f,#e2ddf5,#e6e6fa,#cba085,#d2b48c,#796564,#696969,css3,http://images.collection.cooperhewitt.org/16320_be5695ee59900271_z.jpg
18564409,#dbc6c5,#d8bfd8,#4b5e96,#483d8b,#a36a59,#cd5c5c,#af9d9e,#a9a9a9,#4d4f5a,#2f4f4f,css3,http://images.collection.cooperhewitt.org/16321_fe333d73d60d2b63_z.jpg
