person_id,person_name,id,name,count_objects
18053581,Gretchen Frederick,35236655,Designer,1
18053585,Laurence Bach,35236655,Designer,2
18053597,Donald A. Wallance,35236655,Designer,1049
18053605,Alan Fletcher,35236655,Designer,1
18053617,,35236797,Firm,1
18053619,Fabrice Berrux,35236655,Designer,1
18053621,Bruno Moretti,35236655,Designer,1
18053623,Targetti,35236657,Manufacturer,1
18053625,"AG Industry Co., Ltd.",35236673,Printer,1
18053625,"AG Industry Co., Ltd.",35236657,Manufacturer,1
18053629,Aino Aalto,35236655,Designer,1
18053635,Karhula Glass Works,35236657,Manufacturer,2
18053639,Artek,35236657,Manufacturer,1
18053641,,35236657,Manufacturer,1
18053645,Jean-Michel Wilmotte,35236655,Designer,1
18053647,Academy,35236749,Retailer,1
18053651,,35236767,Jeweler,1
18053655,Brothers Adam,35236685,Maker,1
18053661,Philippe de la Salle,35236655,Designer,2
18053661,Philippe de la Salle,35236789,School of,1
18053663,William Adams,35236685,Maker,1
18053665,Adler Werke,35236657,Manufacturer,1
18053667,Tito Agnoli,35236655,Designer,1
18053669,O-Luce,35236657,Manufacturer,1
18053677,"NeXT, Inc.",35236657,Manufacturer,1
18053679,Ahrenfeldt,35236657,Manufacturer,13
18053681,Thomas De La Rue,35236657,Manufacturer,1
18053683,Purma Cameras Ltd.,35236675,For,1
18053695,Mark Wheatley,35236655,Designer,1
18053709,Mark Kostabi,35236655,Designer,1
18053709,Mark Kostabi,35236601,Illustrator,1
18053711,Robert Shadbolt,35236655,Designer,1
18053711,Robert Shadbolt,35236601,Illustrator,1
18053725,,35236655,Designer,6
18053731,Brionvega,35236657,Manufacturer,1
18053743,"The Works Progress Administration, Federal Art Project",35236675,For,5
18053753,St. Clair Pakwell,35236657,Manufacturer,1
18053755,Doug Wilson,35236655,Designer,1
18053757,Bret Packaging Company,35236657,Manufacturer,1
18053759,S. Walter Packaging Corp.,35236685,Maker,1
18053759,S. Walter Packaging Corp.,35236657,Manufacturer,1
18053761,Kirchheimer Bros,35236659,Distributor,1
18053763,Publistyle International,35236657,Manufacturer,2
18053765,Ernst Roch,35236655,Designer,1
18053769,Katha Dalton,35236655,Designer,1
18053773,Alan Kikuchi,35236655,Designer,1
18053779,Rolf Harder,35236655,Designer,1
18053785,Georges Huel,35236655,Designer,3
18053787,Pierre-Yves Pelletier,35236743,Engraver,4
18053787,Pierre-Yves Pelletier,35236655,Designer,3
18053789,Yvon Laroche,35236655,Designer,1
18053793,Thomas Wood,35236655,Designer,1
18053795,Chuck Jones,35236655,Designer,1
18053799,Ed Koren,35236655,Designer,1
18053801,Howard Decorative Packaging,35236657,Manufacturer,2
18053803,Jumbo Interstate Bag,35236657,Manufacturer,1
18053805,Susan Crane Design,35236797,Firm,1
18053807,Jillson & Roberts,35236657,Manufacturer,1
18053809,Zellerbach Paper Company,35236659,Distributor,1
18053809,Zellerbach Paper Company,35236657,Manufacturer,1
