person_id,person_name,id,name,count_objects
18050497,Violet Sand Factory,35236657,Manufacturer,7
18050507,Gabriel Pasadena,35236655,Designer,1
18050509,Don Schreckengost,35236685,Maker,1
18050511,Umbra,35236657,Manufacturer,1
18050521,Louis Henry Sullivan,35236655,Designer,3
18050523,Samuel Kirk & Son,35236685,Maker,5
18050523,Samuel Kirk & Son,35236657,Manufacturer,1
18050527,Gilles Derain,35236655,Designer,15
18050541,Iroquois China Company,35236657,Manufacturer,1
18050545,Boston and Sandwich Glass Company,35236657,Manufacturer,1
18050547,Sybil Carter Indian Mission and Lace Industry Association,35236685,Maker,17
18050547,Sybil Carter Indian Mission and Lace Industry Association,35236735,Association,1
18050547,Sybil Carter Indian Mission and Lace Industry Association,35236679,Sitter,1
18050561,,35236657,Manufacturer,3
18050561,,35236691,Collector,1
