count_objects,count_people,display_name,id,name,type,url 
2939,971,Made by,35236685,Maker,production,https://collection.cooperhewitt.org/roles/35236685/
19,18,Invented by,35236607,Inventor,production,https://collection.cooperhewitt.org/roles/35236607/
9,7,Potter:,35236635,Potter,production,https://collection.cooperhewitt.org/roles/35236635/
68,54,Illustrated by,35236601,Illustrator,production,https://collection.cooperhewitt.org/roles/35236601/
17,15,Probably,35236637,Probably,production,https://collection.cooperhewitt.org/roles/35236637/
179,104,Photographed by,35236631,Photographer,production,https://collection.cooperhewitt.org/roles/35236631/
7,5,Patentee:,35236625,Patentee,production,https://collection.cooperhewitt.org/roles/35236625/
18,20,Lithographer:,35236617,Lithographer,production,https://collection.cooperhewitt.org/roles/35236617/
6,8,Industrial Design by,35236605,Industrial Designer,production,https://collection.cooperhewitt.org/roles/35236605/
86,47,Possibly by,35236633,Possibly,production,https://collection.cooperhewitt.org/roles/35236633/
11,8,Follower of,35236699,Follower of,production,https://collection.cooperhewitt.org/roles/35236699/
28,30,Attributions:,35236687,Attributions,production,https://collection.cooperhewitt.org/roles/35236687/
698,178,Company:,35236681,Company,production,https://collection.cooperhewitt.org/roles/35236681/
34,14,Dedicatee:,35236693,Dedicatee,production,https://collection.cooperhewitt.org/roles/35236693/
10842,1797,Manufactured by,35236657,Manufacturer,production,https://collection.cooperhewitt.org/roles/35236657/
9,5,Textile Artist:,35236645,Textile Artist,production,https://collection.cooperhewitt.org/roles/35236645/
13,6,Metal Worker:,35236619,Metal Worker,production,https://collection.cooperhewitt.org/roles/35236619/
507,108,Distributed by,35236659,Distributor,production,https://collection.cooperhewitt.org/roles/35236659/
1738,445,Client:,35236667,Client,production,https://collection.cooperhewitt.org/roles/35236667/
7,2,Knitted by,35236609,Knitter,production,https://collection.cooperhewitt.org/roles/35236609/
977,277,Produced by,35236671,Producer,production,https://collection.cooperhewitt.org/roles/35236671/
25,16,Collected by,35236691,Collector,production,https://collection.cooperhewitt.org/roles/35236691/
28,16,Circle of,35236697,Circle of,production,https://collection.cooperhewitt.org/roles/35236697/
2,1,Landscape Architect:,35236615,Landscape Architect,production,https://collection.cooperhewitt.org/roles/35236615/
22330,3503,Designed by,35236655,Designer,production,https://collection.cooperhewitt.org/roles/35236655/
461,189,Printed by,35236673,Printer,production,https://collection.cooperhewitt.org/roles/35236673/
2,2,Imported by:,35236803,Importer:,production,https://collection.cooperhewitt.org/roles/35236803/
1,1,Font designed by,35236813,Font designer,production,https://collection.cooperhewitt.org/roles/35236813/
6,6,Created by,35236807,Creator,production,https://collection.cooperhewitt.org/roles/35236807/
102,57,Design Team Member:,35236801,Design Team member,production,https://collection.cooperhewitt.org/roles/35236801/
4,1,Guild:,35236805,Guild,production,https://collection.cooperhewitt.org/roles/35236805/
1,1,,35236811,Collection Scope/Subject,production,https://collection.cooperhewitt.org/roles/35236811/
1,1,With contribution from,68790797,Contributor,production,https://collection.cooperhewitt.org/roles/68790797/
13,2,Featuring artwork by,68299071,Featured Artist,production,https://collection.cooperhewitt.org/roles/68299071/
9,9,Subject:,68299055,Subject,production,https://collection.cooperhewitt.org/roles/68299055/
1,1,Pewterer:,68245691,Pewterer,production,https://collection.cooperhewitt.org/roles/68245691/
12333,606,Purchased from,35352249,Vendor,donor,https://collection.cooperhewitt.org/roles/35352249/
21,6,Sold by,35352253,Auctioneer,donor,https://collection.cooperhewitt.org/roles/35352253/
1,1,Transferred to,35352251,Transferee,donor,https://collection.cooperhewitt.org/roles/35352251/
221,16,Transferred from,35352257,Transferor,donor,https://collection.cooperhewitt.org/roles/35352257/
14007,171,Catalogued by,35352245,Cataloguer,donor,https://collection.cooperhewitt.org/roles/35352245/
110,3,Executed by,35352255,Executor,donor,https://collection.cooperhewitt.org/roles/35352255/
2762,33,Fund:,35352247,Fund,donor,https://collection.cooperhewitt.org/roles/35352247/
82997,2899,Donated by,35351535,Donor,donor,https://collection.cooperhewitt.org/roles/35351535/
8281,62,Bequest of,35351537,Bequestor,donor,https://collection.cooperhewitt.org/roles/35351537/
204,0,Depositor:,35351539,Depositor,donor,https://collection.cooperhewitt.org/roles/35351539/
187,4,Acquired from,51582891,Source,donor,https://collection.cooperhewitt.org/roles/51582891/
391,57,Lent by,51571131,Lender,donor,https://collection.cooperhewitt.org/roles/51571131/
421,64,Agent:,51571159,Agent,donor,https://collection.cooperhewitt.org/roles/51571159/
2,2,Borrowed by,51584809,Borrower,donor,https://collection.cooperhewitt.org/roles/51584809/
3,3,Sold to,51570923,Buyer,donor,https://collection.cooperhewitt.org/roles/51570923/
251,89,Purchased with funds from:,51571025,Funder,donor,https://collection.cooperhewitt.org/roles/51571025/
4,3,Firm:,51571099,Firm,donor,https://collection.cooperhewitt.org/roles/51571099/
1,1,Exchanged with,51574925,Exchangee,donor,https://collection.cooperhewitt.org/roles/51574925/
5,2,Given to,51573415,Recipient,donor,https://collection.cooperhewitt.org/roles/51573415/
1,1,Music composed by,51682699,Composer,production,https://collection.cooperhewitt.org/roles/51682699/
