Johann Balthasar Probst,18042037,59358986,0
Zandra Rhodes,18042039,8809053,0
Hubert-Francois Gravelot,18042041,47065548,14352395
John Pine,18042043,34796690,0
Horace Walpole,18042045,17231985,31097899
Barry Delany,18042047,0,0
Frank Lloyd Wright,18042049,27148716,10683
Giovanni Battista Piranesi,18042057,2546239,161803
Louis-Joseph Le Lorrain,18042067,5021293,0
Frederick Crace,18042069,65088644,27880988
"George IV, King of England",18042071,0,0
Ivan Chermayeff,18042085,96367587,0
Seymour Chwast,18042087,96524183,1750945
Joseph Essex,18042093,0,0
Tim Girvin,18042101,0,0
Milton Glaser,18042107,95751921,0
Albani,18042113,69070806,902131
Giovanni Lorenzo Bernini,18042115,73850000,12635
Johann Fischer von Erlach,18042117,0,0
Domenico Martinelli,18042119,76399690,21349329
Andrea Pozzo,18042121,59230796,2882394
Giovanni Giardini,18042123,79203097,0
Giacomo Alboresi,18042125,39223397,11986510
John Nash,18042131,816256,1784395
Stefano della Bella,18042133,7502835,1642096
Pierre-Jean Mariette,18042135,59086225,5550776
Domenico Piola,18042139,79212236,9368918
Giovanni Odazzi,18042141,72472604,10861151
Giuseppe Nicola Nasini,18042143,60166946,10860230
Mario Alberoni,18042145,0,0
Angelo Michele Colonna,18042147,250916201,0
Antonio Gherardi,18042149,121912382,9756428
Pope Alexander VII,18042153,89775498,23789
Michelangelo,18042155,24585191,21019
Pope Urbanus VIII,18042157,0,0
"Maria Casimira, Queen of Poland",18042159,0,0
Baldassare Longhena,18042161,13103481,1011185
Isaac de Moucheron,18042163,120732997,0
Jean-François Cuvilliés,18042165,10118068,0
François-Joseph Belanger,18042167,49256807,6166578
Jean-Jacques-François Lebarbier,18042169,27098855,0
Antoine Berjon,18042171,51962301,9232429
Christian Francis Rosborg,18042173,0,0
Giovanni Giuseppe Jarmorini,18042179,18389418,0
Robert L. Stuart,18042181,0,0
Charles Huntington,18042183,0,0
Albert Gallatin,18042185,46664488,25547228
James Lenox,18042187,0,0
William E. Dodge,18042189,0,0
Chester A. Arthur,18042193,0,0
Carl Schurz,18042195,0,0
Evan Thomas,18042197,0,0
Mrs. Rutherford B. Hayes,18042201,0,0
Peter Cooper,18042203,0,0
Christopher Huet,18042205,0,0
Sophie Huntington,18042209,0,0
Nicolaus Ott,18042211,0,0
Bernard Stein,18042213,96372756,0
Raymond Loewy,18042217,46764198,908990
Carlo Galli Bibiena,18042219,66373545,0
Francesco Galli Bibiena,18042221,29601026,0
Bibiena Family,18042223,123061676,0
Ferdinando Galli Bibiena,18042225,88952004,0
Alessandro Galli Bibiena,18042227,95825448,0
Jean-Joseph Chamant,18042229,96057156,0
Alexander Hamilton II,18042231,0,0
Daniel Marot,18042233,57410715,323254
Bernard Hazard & Family,18042235,0,0
Thomas Moran,18042237,54950684,400646
R. S.,18042239,0,0
Eleanor Hutton Rand,18042241,0,0
(Unknown) Olsson,18042243,0,0
Valentine-Seaver,18042245,0,0
Amodec Corporation,18042247,0,0
K.,18042249,0,0
Emil Schwarzhaupt,18042251,0,0
Vassar,18042253,130167798,0
W. and J. Sloane,18042255,0,0
Luce Furniture Company,18042257,0,0
"Samuel L. ""Roxy"" Rothafel",18042267,0,0
Radio City Music Hall,18042269,0,0
Metallon,18042271,0,0
E. W.,18042273,29647465,7866267
Wiener,18042275,0,0
AUDAC,18042277,0,0
Alcoa,18042279,0,0
Kroehler Manufacturing Co.,18042281,0,0
B. L.,18042283,0,0
William Trost Richards,18042285,18169024,2202554
Francis Hopkinson Smith,18042291,59448095,1791534
Deskey-Vollmer,18042295,0,0
William Stanley Haseltine,18042301,42641268,14390708
Malcom Grear,18042303,0,0
James Miho,18042305,0,0
Jayme Odgers,18042307,0,0
Arnold Saks,18042309,0,0
Katherine McCoy,18042311,110465433,0
Tom Ockerse,18042319,0,0
Pentagram,18042323,141348172,0
Woody Pirtle,18042325,0,0
Anspach Grossman Portugal,18042327,0,0
Massimo Vignelli,18042329,27209311,5036398
Christopher Pullman,18042333,0,0
R.Buckminster Fuller,18042337,36898370,4031
Kenneth Hiebert,18042339,0,0
Paul Rand,18042341,49363268,206029
Saul Bass,18042343,100994995,849349
Peter Max,18042345,95713295,141330
Tom Geismar,18042347,0,0
Peter Bradford,18042351,0,0
Michael Vanderbyl,18042355,96335657,0
Ken White,18042357,0,0
Robert Probst,18042359,0,0
Stephen Frykholm,18042365,0,0
Earl Woods,18042367,0,0
Burson-Marsteller Design Group,18042371,0,0
Daniel Hopfer,18042373,100331590,0
Jean-Baptiste Monnoyer,18042375,55042764,12160547
P. Mortier,18042377,0,0
Fabrique de St. Ruf,18042379,0,0
Gilles-Paul Cauvet,18042381,54420675,0
Mme. Dabry,18042383,0,0
Claude Lucas,18042385,0,0
Jacques de Lajoüe,18042387,34465176,0
Mathias Zundt,18042389,0,0
Claude Serancourt,18042391,0,0
Etienne de Lavallée-Poussin,18042393,121888583,11848841
Felice Giani,18042405,37089976,9467613
Jean-Baptiste Pillement,18042407,71534412,9973655
Michelangelo Pergolesi,18042409,96388739,0
Samuel Colman,18042411,28214692,1971257
Henri Jacob,18042413,0,0
Georges Jacob,18042415,8308385,5030476
Herman A. Elsberg,18042417,0,0
Brigham Young University,18042421,0,0
Jim Dine,18042429,61562057,0
Stewart Siskind,18042453,0,0
Jane Bonsack,18042455,0,0
Linda Powell,18042459,0,0
San Francisco Poster Brigade,18042463,0,0
John Follis,18042465,0,0
Mark Trieb,18042467,0,0
Lino Sabattini,18042469,0,0
Johann Michael Hoppenhaupt II,18042471,96578675,0
Gilbert Seldes,18042477,0,0
Carlebach,18042479,0,0
Benjamin Dean Wyatt,18042481,95842544,5140732
Martin Engelbrecht,18042483,29638320,0
C.P. Maj.,18042485,0,0
Jeremias Wachsmuth,18042487,8460945,0
Napoleon Bonaparte,18042489,103645458,0
Sir Edward Burne-Jones,18042493,59120251,178877
Carqueville,18042495,5202819,0
Enneamond-Alexandre Petitot,18042499,0,0
Jacques Sarazin,18042501,76585104,2639809
Condé Nast,18042503,0,0
James Roth,18042507,0,0
Deere & Company,18042509,0,0
Elizabeth Pochhammer,18042511,0,0
Hugh Ferriss,18042513,39100,948203
Katsushika Hokusai,18042515,69033717,43357
International Casino,18042519,0,0
Milgrim Gallery,18042521,0,0
Eijudo,18042523,0,0
Rigley,18042525,0,0
Rubin,18042527,0,0
Jusepe de Ribera,18042529,159074901,0
Jan Lutma,18042531,95792045,0
Adam I. Vianen,18042533,0,0
Oswald Haerdtl,18042537,27875440,0
T.P. Devrient,18042539,0,0
Ely Jacques Kahn,18042541,15581061,4667874
Buchman and Kahn,18042543,0,0
Pietro Belli,18042545,0,0
"Lefebure Manufactory, Tournai",18042547,0,0
Mademoiselle Montalent,18042549,0,0
Mademoiselle Anteleme,18042551,0,0
Jean Louis Prieur,18042553,73983598,0
Henri Salembier,18042555,96261311,0
Jean-Guillaume Moitte,18042557,46855390,21323102
Gabriel Huquier,18042559,51959621,22130580
Antoine Watteau,18042561,46882028,242867
Mademoiselle Favel,18042563,0,0
Girolamo da Carpi,18042565,90631414,1438494
Abraham Bloemaert,18042567,77114225,840190
Hector Guimard,18042569,71400445,379665
Israhel van Meckenem,18042571,89794562,0
Francesco Trevisani,18042573,9903574,8237874
Moses Taylor,18042575,0,0
Mr. Laurent,18042577,0,0
Sebastiano Cipriani,18042579,95739041,0
Andrea Boscoli,18042581,0,0
Victor Vincent Adam,18042585,4986476,27383629
G. Prati,18042587,0,0
Giovanni Domenico Tiepolo,18042589,46771018,2036265
Giovanni-Battista Tiepolo,18042591,71399712,216781
Giovanni Battista Foggini,18042593,54417307,0
Léonard Chailleat,18042595,0,0
Theodor Bang,18042597,0,0
General Post Office of England,18042601,0,0
Daily Herald,18042603,0,0
Eugène Samuel Grasset,18042605,95179440,0
Maison Vever,18042607,0,0
Antonio Giuseppe Basoli,18042609,24869563,0
Giovanni Piancastelli,18042611,5844532,0
Luigi Righetti,18042613,268181719,0
E. Bechetti,18042615,0,0
Antonio Foschini,18042617,31350120,0
Domenico Bolognese,18042619,96397423,0
Ferdinando Fuga,18042621,45100690,4363290
Giuseppe Maria Mitelli,18042623,9915639,0
Lepold Cesare,18042625,0,0
Claudia Felice,18042627,0,0
Carlo Marchionni,18042631,47557982,4360470
Carlo Antonio Buffagnotti,18042635,95731544,0
Jacopo Ligozzi,18042637,46750228,2631276
Paolo Posi,18042639,50306864,0
Giovanni Battista Natali,18042641,18276180,0
Andrea Mantegna,18042645,27084155,214213
Jean-Jacques Lagrenée the Younger,18042647,7400711,19230702
Jacques-François Chéreau,18042649,0,0
Nicola Fiore,18042651,95748974,0
Jean-Charles Delafosse,18042653,27335155,0
Jean-Jacques-François Le Barbier,18042655,27098855,0
Juste-Aurèle Meissonnier,18042657,7556191,1421679
Pierre-Edmé Babel,18042661,71665971,0
Nicolas Pineau,18042663,7657852,6924542
Charles de Wailly,18042665,17309164,36332303
Johann Alois Seethaler,18042667,0,0
Joseph Anton Seethaler II,18042669,0,0
Giacomo Quarenghi,18042671,68947570,3784876
Giuseppe Valadier,18042675,59167977,3827106
Filippo Marchionni,18042677,0,0
Pompeo Marchesi,18042679,29465276,0
Unknown,18042681,100627207,0
Richard de Lalonde,18042683,95706615,0
"Marie Antoinette, Queen of France",18042685,96583693,45109
Jean-Siméon Rousseau,18042687,36683389,2627241
Victor Louis,18042689,2478924,5924987
Giocondo Albertolli,18042693,7658760,14062739
Michael Graves,18042695,30270790,53408
Germain Boffrand,18042697,7440183,6773379
Johann August Nahl the Elder,18042705,54953760,4193228
Charles-François Hutin,18042707,67392223,0
Sébastien Antoine Slodtz,18042709,69200166,0
Charles-Nicolas Cochin the younger,18042711,0,0
Ilonka Karasz,18042721,64891198,0
Richard Meier,18042729,98048351,53613
Louis-Gustave Taraval,18042735,61817622,0
"Adolphus Frederick, King of Sweden",18042737,0,0
Hartmann et Fils Manufactory,18042739,0,0
Bonaventure M. Lebert,18042741,0,0
Alexandra Exter,18042743,65651276,749755
Masahiro Chatani,18042745,164489274,0
"Takenobu Igarashi (Japanese, b. 1944)",18042747,0,0
David Au,18042751,50134065,11892999
Champion International Corporation,18042755,0,0
Modern Arts Packaging by Design,18042773,0,0
"S. Posner Sons,  Inc.",18042783,0,0
Giuseppe Bernardino Bison,18042789,32816514,8000541
Lewis Davis,18042791,53072351,0
William H. Paxson,18042793,0,0
"Davis, Brody and Associates, Architects",18042795,0,0
"Heinrich Kuehn, Berlin",18042799,0,0
Allen Lewis,18042803,0,0
Marcus de Bye,18042805,95872183,0
Marcus Gerards I,18042807,0,0
"Jan Sadeler, the Elder",18042809,5802172,0
Gilles Mostaert the Elder,18042811,0,0
Cornelis Visscher,18042813,67830437,29610160
Epinal,18042819,0,0
Saul Steinberg,18042821,59089542,1226508
Federico Gonzaga II,18042825,59186552,214249
Francesco Salviati,18042827,12395550,36364264
Ando Hiroshige,18042839,19678928,2492542
Hoeido firm,18042841,0,0
Gottfried Engelmann,18042843,56729836,9888592
M[ichel?] Pourchet,18042845,0,0
Desflorennes,18042847,0,0
Jean DuBois,18042849,73863236,0
Matthew Liard,18042851,34726196,0
Arnold Joost van Keppel,18042853,0,0
Rosalba Carriera,18042861,69054232,2137897
Maurice Quentin de Latour,18042867,49488081,899365
François Chauveau,18042871,2518599,22715669
"Louis XIV, King of France",18042873,89765843,18553
