count_objects,id,name,superseded_by,supersedes,url
1,35262089,Pair of cache-pots,0,0,http://collection.cooperhewitt.org/types/35262089/
4,35262093,Chair leg,0,0,http://collection.cooperhewitt.org/types/35262093/
10,35262079,Covered dish,0,0,http://collection.cooperhewitt.org/types/35262079/
6,35262071,coffee pot,0,0,http://collection.cooperhewitt.org/types/35262071/
4,35262085,Custard cup and cover,0,0,http://collection.cooperhewitt.org/types/35262085/
1,35262013,cornucopia,0,0,http://collection.cooperhewitt.org/types/35262013/
1,35262061,Plateau,0,0,http://collection.cooperhewitt.org/types/35262061/
7,35298187,dry point,0,0,http://collection.cooperhewitt.org/types/35298187/
1,35298127,Buffet,0,0,http://collection.cooperhewitt.org/types/35298127/
1,35298197,Fragments with partial chef,0,0,http://collection.cooperhewitt.org/types/35298197/
3,35298191,woodblock [zinc-faced],0,0,http://collection.cooperhewitt.org/types/35298191/
1,35298111,Folding chair,0,0,http://collection.cooperhewitt.org/types/35298111/
2,35298199,Fragment with partial chef,0,0,http://collection.cooperhewitt.org/types/35298199/
75,35259259,Molding,0,0,http://collection.cooperhewitt.org/types/35259259/
740,35259245,Mount,0,0,http://collection.cooperhewitt.org/types/35259245/
91,35259243,Plaque,0,0,http://collection.cooperhewitt.org/types/35259243/
849,35259269,Frieze,0,0,http://collection.cooperhewitt.org/types/35259269/
3,35256387,Ribbon fragment,0,0,http://collection.cooperhewitt.org/types/35256387/
4,35256315,Trimmimg,0,0,http://collection.cooperhewitt.org/types/35256315/
33,35256329,Trimming fragment,0,0,http://collection.cooperhewitt.org/types/35256329/
1,35256305,Incomplete cope hood,0,0,http://collection.cooperhewitt.org/types/35256305/
1,35271461,Book of engravings,0,0,http://collection.cooperhewitt.org/types/35271461/
63,35266305,Playing,0,0,http://collection.cooperhewitt.org/types/35266305/
4,35266369,Playing cards,0,0,http://collection.cooperhewitt.org/types/35266369/
2,35290555,Print. Castle of Hioneji,0,0,http://collection.cooperhewitt.org/types/35290555/
1,35290541,clay tablet,0,0,http://collection.cooperhewitt.org/types/35290541/
1,35290583,Pilaster and dado border,0,0,http://collection.cooperhewitt.org/types/35290583/
2,35290563,Perfume bottle and box,0,0,http://collection.cooperhewitt.org/types/35290563/
1,35290531,Candlestick part,0,0,http://collection.cooperhewitt.org/types/35290531/
2,35290533,lekythos,0,0,http://collection.cooperhewitt.org/types/35290533/
1,35290581,Tablet fragment,0,0,http://collection.cooperhewitt.org/types/35290581/
3,35290573,Shawl fragments,0,0,http://collection.cooperhewitt.org/types/35290573/
28,35290527,sewing sample,0,0,http://collection.cooperhewitt.org/types/35290527/
1,35290515,Basket and contents,0,0,http://collection.cooperhewitt.org/types/35290515/
1,35290529,Embroidery: machine,0,0,http://collection.cooperhewitt.org/types/35290529/
1,35290517,knotted net,0,0,http://collection.cooperhewitt.org/types/35290517/
11,35290507,Selendang (shoulder cloth),0,0,http://collection.cooperhewitt.org/types/35290507/
2,35290597,Valence,0,0,http://collection.cooperhewitt.org/types/35290597/
167,35290543,Decorated paper,0,0,http://collection.cooperhewitt.org/types/35290543/
5,35290579,banknote,0,0,http://collection.cooperhewitt.org/types/35290579/
1,35290547,resist: flat surface,0,0,http://collection.cooperhewitt.org/types/35290547/
41,35290551,Embossed,0,0,http://collection.cooperhewitt.org/types/35290551/
1,35290585,Scenic - pilaster,0,0,http://collection.cooperhewitt.org/types/35290585/
1,35290595,Shirt and belt,0,0,http://collection.cooperhewitt.org/types/35290595/
1,35290501,page from ackermann's reposito,0,0,http://collection.cooperhewitt.org/types/35290501/
1,35290537,Embroidery counted stitches,0,0,http://collection.cooperhewitt.org/types/35290537/
13,35290523,cutout,0,0,http://collection.cooperhewitt.org/types/35290523/
52,35290553,Folding fan,0,0,http://collection.cooperhewitt.org/types/35290553/
5,35290535,Skirt fragment,0,0,http://collection.cooperhewitt.org/types/35290535/
2,35290569,Shawl border,0,0,http://collection.cooperhewitt.org/types/35290569/
1,35290599,Bed cover (suzani),0,0,http://collection.cooperhewitt.org/types/35290599/
1,35290509,Inventory of the estate of George Fox,0,0,http://collection.cooperhewitt.org/types/35290509/
1,35291841,"statuette,female saint",0,0,http://collection.cooperhewitt.org/types/35291841/
1,35291883,fireplace poker,0,0,http://collection.cooperhewitt.org/types/35291883/
1,35291863,pestle,0,0,http://collection.cooperhewitt.org/types/35291863/
5,35291857,Sample card,0,0,http://collection.cooperhewitt.org/types/35291857/
1,35291849,pomander segment,0,0,http://collection.cooperhewitt.org/types/35291849/
1,35291833,"mortar,pestle",0,0,http://collection.cooperhewitt.org/types/35291833/
5,35291887,Flask and stopper,0,0,http://collection.cooperhewitt.org/types/35291887/
1,35291881,Scribe's box,0,0,http://collection.cooperhewitt.org/types/35291881/
1,35291821,Bilboquet,0,0,http://collection.cooperhewitt.org/types/35291821/
1,35291867,"fruit, pear",0,0,http://collection.cooperhewitt.org/types/35291867/
1,35291873,"fruit, banana",0,0,http://collection.cooperhewitt.org/types/35291873/
1,35291893,Waste paper bin,0,0,http://collection.cooperhewitt.org/types/35291893/
1,35291829,reliquory,0,0,http://collection.cooperhewitt.org/types/35291829/
1,35291845,Circular snuff box,0,0,http://collection.cooperhewitt.org/types/35291845/
1,35291825,Portrait of lady,0,0,http://collection.cooperhewitt.org/types/35291825/
1,35291819,turning,0,0,http://collection.cooperhewitt.org/types/35291819/
1,35291805,Pair of Candlelabras,0,0,http://collection.cooperhewitt.org/types/35291805/
2,35291897,dance mask,0,0,http://collection.cooperhewitt.org/types/35291897/
1,35291839,Bowl with stand,0,0,http://collection.cooperhewitt.org/types/35291839/
1,35291843,Navette,0,0,http://collection.cooperhewitt.org/types/35291843/
1,35291877,Case panel,0,0,http://collection.cooperhewitt.org/types/35291877/
1,35291847,Bloodstone snuff box,0,0,http://collection.cooperhewitt.org/types/35291847/
1,35291885,Flowerpot and base,0,0,http://collection.cooperhewitt.org/types/35291885/
2,35291895,Cigarette box,0,0,http://collection.cooperhewitt.org/types/35291895/
1,35291813,penwiper,0,0,http://collection.cooperhewitt.org/types/35291813/
1,35291837,Pomander and cover,0,0,http://collection.cooperhewitt.org/types/35291837/
3,35291823,thermometer,0,0,http://collection.cooperhewitt.org/types/35291823/
1,35291869,"fruit, apple",0,0,http://collection.cooperhewitt.org/types/35291869/
1,35291811,Locket and case,0,0,http://collection.cooperhewitt.org/types/35291811/
1,35291861,weaver's analysis notebook,0,0,http://collection.cooperhewitt.org/types/35291861/
1,35291899,Crystal ball with stand,0,0,http://collection.cooperhewitt.org/types/35291899/
1,35291809,Enameled snuff box,0,0,http://collection.cooperhewitt.org/types/35291809/
13,35251905,footed dish,0,0,http://collection.cooperhewitt.org/types/35251905/
12,35251939,wallpaper,0,0,http://collection.cooperhewitt.org/types/35251939/
